ASL-LEX_add_translation
ASL-LEX_add_translation,,,
Entry,Gloss,Definition,Comment
L_stockings,stockings,stockings,
L_stomach,stomach,"anatomy, belly, body, organ, stomach",
L_stop,stop,"discontinue, cut it out, end, finish, halt, quit it, stop",
L_stopwatch,stopwatch,stopwatch,
L_story_1,story,"account, anecdote, comment, gossip, narrative, recount, story, tale, tell a story",
L_story_2,story,"account, anecdote, message, narrative, recount, story, tale, tell a story",
L_story_3,story,"account, anecdote, comment, commentary, message, narrative, recount, relate, statement, story, tale, tell a story",
L_straight,straight,"direct, straight, straighforward, blunt",
L_strain_1,strain,"strain, remove by passing through a filter",ref_signasl
L_strain_2,strain,strain,
L_strange,strange,"odd, strange, weird",
L_strangle,strangle,"choke, frustrated, squeeze a neck, strangle",
L_straw,straw,straw,
L_strawberry,strawberry,"food, fruit, strawberry",
L_strawberry_2,strawberry,"food, fruit, grapes (CT sign), strawberry",
L_strawberry_3,strawberry,strawberry,
L_strawberry_4,strawberry,strawberry,
L_street,street,"avenue, path, road, street, way",
L_stress,stress,"pressure, stress, suppress",
L_stretch_1,stretch,stretch,
L_stretch_2,stretch,stretch,
L_stretch-ca,stretch-ca,stretch-ca,
L_strict,strict,"rigorous, severe, strict, uncompromising",
L_string,string,"boundary, line, string, wire",
L_stripe,stripe,"lines, pattern, stripe",
L_strong,strong,"brave, flex, power, strength, strong",
L_structure,structure,"arrangement, configuration, constitution, construction, structure",
L_struggle,struggle,"battle, endeavor, go back-and-forth, grapple, scramble, struggle, tension, toil, tug-of-war",
L_stubborn,stubborn,"donkey, determined, hard-headed, obstinate, stubborn",
L_stuck,stuck,"bamboozled, clog, flummoxed, jammed, stuck, stumped, pregnant",
L_student,student,"pupil, school, student",
L_study,study,"education, learning, schooling, study",
L_stumble,stumble,"a mess, at a loss, awkward, clumsy, not sure what to do, out of place, stumble, taken aback, uncertain, unexpected, unsure",
L_stupid_1,stupid,"dumb, stupid",
L_stupid_2,stupid,"dumb, idiot, nitwit, peabrain, stupid, stupidity",
L_subtract,subtract,"deduct, remove, subtract, take away",
L_suck,suck,suck,
L_suck_thumb,suck_thumb,suck_thumb,
L_suit,suit,"coat, clothes, jacket, overcoat",
L_summarize,summarize,"abbreviate, abbreviation, compress, concise, condense, for-short, in closing, summarize, summary",
L_summer,summer,"hot weather, season, summer",
L_summon,summon,"ask, beckon, call, request, summon",
L_sun,sun,"energy, heavenly body, light, sun, SUNo5, sunlight, sunshine",
L_sunbathe,sunbathe,sunbathe,
L_sunbathe_2,sunbathe,sunbathe,
L_sunday_2,sunday,"day, day of the week, Sunday, weekend",
L_sunrise,sunrise,"dawn, daybreak, horizon, morning, natural phenomenon, oversleep, sleep in, sun, sunrise",
L_sunset,sunset,"dusk, evening, gloaming, horizon, natural phenomenon, nightfall, sun, sundown, sunset, twilight",
L_superior,superior,"above, boss, chief, higher-up, superior",
L_supervise,supervise,"careful, monitor, supervise, take care, watch",
L_supervisor,supervisor,"babysitter, boss, monitor, supervise, supervisor",
L_support_1,support,"advocate, assist, help, in favor of, justify, reinforce, support",
L_support_2,support,support,
L_sure,sure,sure,
L_surf,surf,"surf, surfing",
L_surgeon,surgeon,"doctor, medicine, surgery, surgeon",
L_surgery,surgery,"cut, dissect, incision, medical, operate, operation, surgery",
L_surprise,surprise,"alert, awake, open-eyes, open your eyes, shocked, surprise, surprised, wake up",
L_sushi,sushi,"food, sushi",
L_suspect,suspect,suspect,
L_suspend,suspend,"hang out, hold, pause, suspend, to hang from",
L_suspenders_1,suspenders,suspenders,
L_suspenders_2,suspenders,suspenders,
L_swallow,swallow,"eat food, gulp, swallow",
L_sweat,sweat,"hot, humid, moisture, perspiration, perspire, sweat, sweaty",
L_sweater,sweater,"apparel, clothing, outerwear, sweater, sweatshirt",
L_sweater_2,sweater,sweater,
L_sweater_3,sweater,sweater,
L_sweatpants,sweatpants,sweatpants,
L_sweatshirt,sweatshirt,sweatshirt,
L_sweep,sweep,"broom, clean, sweep",
L_sweet,sweet,"aww, candy, cute, honey, kind, nice, snack, sugar, sweet, sweets",
L_sweetheart,sweetheart,"boyfriend, dating, girlfriend, loved one, partner, romantic, sweetheart",
L_swim,swim,"swim, swimming",
L_swim_2,swim,swim,
L_swing,swing,"swing, swing seat",
L_swing_2,swing,"swing, rocker, rocking chair",
L_switzerland,switzerland,switzerland,
L_sword,sword,"stick, sword, weapon",
L_sympathy,sympathy,"pity, poor, poor thing, sympathy",
L_system,system,system,
L_table,table,"desk, surface, table",
L_tablet,tablet,tablet,
L_tail,tail,"tail, tailshape",
L_tail_2,tail,tail,
L_take,take,"get, grab, remove, take, grasp",
L_take_care,take_care,take_care,
L_take_notes,take_notes,take_notes,
L_take_off_1,take_off,take_off,
L_take_off_2,take_off,"delete, knock off, remove, take off",
L_take_pill,take_pill,"ingest, medicine, pill, take medicine, take orally",
L_talk,talk,"speak, speak with, talk, talk to",
L_talk_2,talk,"blah blah blah, speak, speaking, talk, talking mouth, yada yada",
L_talk_dirty,talk_dirty,"banter, chocolate, curse, cuss, dirty talk, yell, talk shit",
L_tall_1,tall,"height, tall",
L_tall_2,tall,"adult, big, older, tall, tall person",
L_tan,tan,tan,
L_tanktop,tanktop,tanktop,
L_tape,tape,"masking tape, scotch tape, tape, SCOTCH-TAPE",
L_taste,taste,"favorite, flavor, prefer, preference, taste",
L_tea,tea,"chai, drink, tea",
L_teach,teach,"educate, instruct, teach, tutor",
L_teach_2,teach,teach,
L_teacher,teacher,"educator, instructor, professor, teacher",
L_team,team,"group, team",
L_tear,tear,tear,
L_tear_rip_1,tear_rip,tear_rip,
L_tear_rip_2,tear_rip,"invalid, rip, tear, RIPf",
L_tease,tease,"joshing, joke, kidding, tease, teasing, make fun of, making fun of, warm",
L_technology,technology,"equipment, tech, technical, technically, technique, technology",
L_teenager,teenager,"adolescent, puberty, teen, teenager",
L_teeth,teeth,"teeth, tooth",
L_telephone,telephone,"call, phone, telephone",
L_tell,tell,"say to, tell",
L_temper_blow_up,temper_blow_up,"blow up, explode with anger, flare up, get angry, go off, lose temper, temper blow up",
L_temporary,temporary,"before long, in a bit, shortly, soon, temporary",
L_temptation,temptation,"tempt, temptation",
L_tend_your,tend_your,tend_your,
L_tendency,tendency,"BING, bing, habit, likely, tendency, tend to, typical, typically",
L_tennis,tennis,"racket, sport, tennis",
L_tent,tent,"cabin, camp, camping, tent",
L_test,test,"exam, examination, test",
L_text,text,"mobile, mobile device, page, pager, texting, text",
L_than,than,"comparative, conjunction, than",
L_thank_you,thank_you,"grateful, gratitude, thank, thanks, thank you",
L_thanksgiving,thanksgiving,"holiday, Thanksgiving",
L_that,that,"deictic, indexical, pronoun, that, that one, that's it",
L_theater,theater,"act, drama, perform, performance, put on a play, show, theater",
L_then,then,"afterward, at that time, next, then",
L_theory_1,theory,"hypothesis, system of ideas, theoretical, theory, thesis",
L_therapy,therapy,"therapeutic, therapy, treatment",
L_there,there,there,
L_thermometer,thermometer,"degree, temperature, thermometer, warmth",
L_these,these,these,
L_they_1,they,they,
L_they_2,they,they,
L_thief_1,thief,thief,
L_thief_2,thief,"burglar, crook, robber, thief",
L_thin,thin,"skinny, thin",
L_things,things,"item, material, object, resources, stuff, thing",
L_think,think,"brain, mind, remember, think, thought",
L_think_chin,think_chin,think_chin,
L_think_connect,think_connect,think_connect,
L_think_expand,think_expand,think_expand,
L_think_obsess,think_obsess,"dwell on, obsess, obsessed",
L_think_over,think_over,think_over,
L_think_penetrate,think_penetrate,"comprehension, get a point across, get through to, successful communication, think-penetrate, to understand",
L_think_ponder,think_ponder,"brainstorm, consider, contemplate, going through the mind, mull over, ponder, pondering, think about, thinking, wondering",
L_third_1,third,"ordinal number, third, third in order, third place, three",
L_third_2,third,"ordinal number, third, third in order, third place, three",
L_thirsty,thirsty,"drink, gulp, swallow, thirst, thirsty",
L_this_it,this/it,"deictic, he, indexical, it, IX, point at, she, that, there, this, you",
L_thought_disappear,thought_disappear,thought_disappear,
L_three,three,"3, number, three",
L_thrilled,thrilled,"event, excited, thrill, thrilled, what's up",
L_throw,throw,"throw, toss, trash",
L_throw_2,throw,throw,
L_throw_away,throw_away,throw_away,
L_thunder,thunder,thunder,
L_thursday,thursday,"day, day of the week, Thursday, THURSDAYth, time, week",
L_ticket,ticket,"citation, ticket",
L_tickle,tickle,"tickle, tickling",
L_tie,tie,"clothing, necktie, tie","no signs for tie as tie a knot; equal (in a match), see tie-up"
L_tie_2,tie,tie,
L_tie_up_1,tie_up,"tie, tie game, tied up, turn, twist",
L_tie_up_2,tie_up,tie_up,
L_tiger,tiger,"animal, cat, feline, tiger",
L_time,time,"clock, tense, time",
L_time_progress,time_progress,"length of time, over time, progression, progress of time, time, time elapse, time-progress",
L_time_to_time,time_to_time,"every now and then, every once in a while, every so often, from time to time, future, infrequently, later, occasionally, once in a while, periodically, time, time to time",
L_timeout,timeout,"gesture, pause, stop, timeout",
L_tiny,tiny,tiny,
L_tired,tired,"exhausted, tire, tired, worn out",
L_tired_of,tired_of,"bored with it, done, fed up, finished, over it, sick of it, tired of it, OVER-IT",
L_tissue,tissue,"cold, head cold, Kleenex, snot, tissue, wipe, wipe your nose",
L_to,to,"destination, to, until, up to",
L_to_a_goal,to_a_goal,"aim, goal, intention, mission, target",
L_toast,toast,"toast, bread",
L_tobacco,tobacco,"chewing tobacco, tobacco",
L_today,today,"current, currently, day, now, nowadays, present, presently, today, these days, this day",
L_together,together,"along with, combined, together, with",
L_toilet,toilet,"bathroom, pee, restroom, toilet",
L_tomato,tomato,"tomato, TOMATOo",
L_tomorrow,tomorrow,"day, future, time, tomorrow",
L_tongue,tongue,tongue,
L_too_much,too_much,"a bunch, how many, how much, a lot, lot, many, much, quantity, too much",
L_toothbrush,toothbrush,"brush, brush-teeth, brush teeth, toothbrush, toothpaste",
L_toothbrush-ca,toothbrush-ca,toothbrush-ca,
L_top,top,"best, top, top of the line",
L_topic,topic,"in other words, issue, paraphrase, phrase, quote, title, topic",
L_tornado,tornado,"tornado, twister",
L_toss,toss,"discard, get rid of, throw away, throw out, toss",
L_toss_out,toss_out,"discard, get rid of, remove, throw out, toss, toss out",
L_total,total,"altogether, combined, comprehensive, total",
L_touch,touch,"contact, have been there, have visited, hold down, press, tactile, touch",
L_tough,tough,"difficult, not easy, sturdy, tough, trying",
L_tournament,tournament,"competition, sports, tournament",
L_tow_1,tow,tow,
L_tow_2,tow,tow,
L_tow_3,tow,tow,
L_towel,towel,"towel, dry off",
L_toy_1,toy,toy,
L_toy_2,toy,"doll, plastic, rubber, toy, playtoy",
L_toy_3,toy,"game, play, plaything, toy",
L_tractor,tractor,"car, construction, drive, tractor, truck, vehicle",
L_tradition,tradition,"custom, tradition, traditional",
L_traffic,traffic,traffic,
L_train,train,"rail, railroad, track, train, transport, transportation, vehicle",
L_transfer,transfer,"change, move, shift, switch, transfer, transition",
L_transgender,transgender,"LGBTQIA, person, trans, transgender",
L_translate,translate,"change, conversion, convert, interpret, interpretation, translate, translation",
L_trash,trash,"basket, bin, garbage, trash, trash can, waste, wastebasket",
L_travel,travel,"adventure, journey, move, tourist, transfer, travel, trip",
L_tree,tree,"forest, nature, plant, tree, woods",
L_triangle,triangle,"shape, triangle",
L_trim_1,trim,trim,
L_trim_2,trim,trim,
L_trip_1,trip,"trip, tripped, trip-stumble over","no signs for trip as travel, journey, see travel"
L_trip_2,trip,"trip, tripped, trip-stumble over",ref_lifesprint
L_triple,triple,"third, three, three times, thrice, triple",
L_trophy,trophy,"award, reward, trophy",
L_trouble,trouble,"difficulty, predicament, problem, trouble, worry",
L_truck_1,truck,truck,
L_truck_2,truck,"automobile, car, semi-truck, truck, TRUCKc, vehicle",more common
L_TRUE,TRUE,"am, are, copula, is, real, really, sure, true, truth, to be",
L_true_business,true_business,"actually, in fact, literal, literally, really, seriously, tru biz, true-biz, truly",
L_truth,truth,"honest, honestly, honesty, true, truth",
L_try,try,"attempt, effort, try",
L_tty,tty,tty,
L_tube,tube,tube,
L_tube_top,tube_top,tube_top,
L_tuesday,tuesday,"day, day of the week, week, time, Tuesday",
L_turban,turban,turban,
L_turkey,turkey,"animal, bird, turkey",
L_turkey_2,turkey,turkey,
L_turn,turn,"alternate, back and forth, take-turn, take turns",
L_turn_around,turn_around,"around, point, rotate, rotation, spin, turn, turn around, twirl",
L_turn_key,turn_key,turn_key,
L_turtle,turtle,"animal, reptile, shell, turtle",
L_TV,TV,TV,
L_twins_1,twins,"family, siblings, twins",
L_twins_2,twins,"family, siblings, twins",
L_twirl,twirl,"around, revolve, rotate, spin, spin around, swivel, turn, turn around, twirl, twist, whirl",
L_two,two,"2, number, two",
L_two_more,two_more,two_more,
L_two_of_us,two_of_us,"both, both of us, pronoun, together, two, two of us, us, we",
L_two_weeks,two_weeks,"biweekly, time, two, two weeks, weekly, week",
L_type_1,type,"kind, sort, type, version",
L_type_2,type,"computer, keyboard, type, typing, typist, typewriter, type out",
L_udder,udder,udder,
L_ugly,ugly,"dislike, hideous, not beautiful, ugly",
L_umbrella,umbrella,"accessory, rain, umbrella",
L_unaware,unaware,"clueless, don't know, ignorance, ignorant, no idea, nothing, oblivious, unaware",
L_uncertain,uncertain,"ambivalent, hesitant, indecisive, not sure, uncertain, undecided, unsure",
L_uncle,uncle,"family, male relative, relative, uncle",
L_under,under,"below, beneath, under, underneath",
L_undergraduate,undergraduate,"college, school, undergraduate, university",
L_understand,understand,"comprehend, comprehension, understand, understanding",
L_underwear,underwear,"underwear, short form-fitting underpants",ref_handspeak
L_underwear_2,underwear,"underwear, clothes, undergarments, underpants, underwear",ref_signbank
L_unicorn,unicorn,"animal, creature, horse, mythical, unicorn",
L_unique,unique,"especially, except, special, unique",
L_universe,universe,universe,
L_university,university,"college, higher learning, school, university",
L_until,until,"to, to that time, until",
L_up,up,"move up, up, upward, upstairs",
L_upload,upload,upload,
L_upset_1,upset,"bothered, mad, not happy, upset",
L_upset_2,upset,"bothered, mad, not happy, upset",
L_us,us,"pronoun, us, we",
L_use,use,"use, useful, utilize, wear",
L_vacation,vacation,"break, holiday, rest, vacation, VACATION5",
L_vacuum,vacuum,"clean, hoover, vacuum",
L_vain,vain,vain,
L_validate,validate,"approve, authenticate, authorize, okay, permit, validate, verify",
L_valley,valley,valley,
L_value,value,"merit, valuable, value, worth",
L_vampire,vampire,"bat, fanged, mythical creature, vampire",
L_vanilla,vanilla,"flavor, vanilla, vanilla bean, vanillabean, vanilla extract",
L_vanish,vanish,"all out, depleted, empty, gone, invisible, not there, vanish",
L_vase,vase,vase,
L_vegetable,vegetable,"food, greens, vegetable, veggie",
L_verb,verb,"action, linguistics, part of speech, verb",
L_very,very,"intensifier, quite, very",
L_very_interested,very_interested,very_interested,
L_vest,vest,"clothing, garment, vest",
L_vibrate,vibrate,"movement, rumble, shake, shaking, tremor, vibrate, vibration",
L_videocamera,videocamera,"camera, film, record, videocamera, video camera, videorecorder, video recorder",
L_videocamera_2,videocamera,videocamera,
L_videogame,videogame,"texting, video game, _鬫__魪_, _鬫?,VIDEO-GAME,None,1969,No,,,
league,league,H_01_092,H,1,92,2.978,3.357,1.615,-0.472,28,0,3.5,1.912,-0.398,14,0,3.214,1.311,14,-0.546,0,,,,,,1.75,1.333,-0.847,20,,Arbitrary,,,,,,,,,,,,,,Noun,1,0,0,1,534,1401,868,2002,l,0,i,FullyOpen,0,NA,NA,Open,0,SymmetricalOrAlternating,Curved,0,Neutral,Neutral,Neutral,1,l,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.363,0.363,0.426,0.233,0.261,0.409,0.791,0.554,0.622,0,0,0.684,0.657,0.164,0,263,0.267,2,LEAGUE,group",
L_videophone,videophone,"call, conversation, phone call, videophone, video phone, VP",
L_view,view,view,
L_village,village,village,
L_violin,violin,"instrument, music, musical, musical instrument, orchestra, play violin, stringed instrument, violin",
L_vision,vision,"see, visible, vision, visual",
L_visit,visit,"call on, drop by, stay in, stop by, visible, visit, visitor",
L_visitor,visitor,"guest, person, visit, visitor",
L_visualize,visualize,"envision, evoke, ideal, imagine, visualization, think of, visualize, vision",
L_vitamins,vitamins,vitamins,
L_vlog,vlog,"blog, internet, social media, video, vlog",
L_vocabulary,vocabulary,"lexicon, terminology, vocab, vocabulary, words",
L_voice,voice,"oral, verbal, vocal, voice, voiced",
L_volleyball,volleyball,"sports, volleyball, VOLLEYBALLflick",
L_volunteer,volunteer,"applicant, apply, candidate, eligible, volunteer",
L_vomit,vomit,"hurl, throw up, vomit",
L_vote,vote,"elect, election, vote, voting",
L_W.H.A.T,W.H.A.T,W.H.A.T,
L_wade,wade,wade,
L_wade_2,wade,wade,
L_wait,wait,"halt, pause, remain, rest, stop, wait",
L_waiter,waiter,"server, waiter, waitress",
L_walk,walk,"saunter, steps, walk",
L_walk_2,walk,"steps, walk, walking",
L_walk-tightrope-cl,walk-tightrope-cl,walk-tightrope-cl,
L_wall,wall,"surface, wall, border",
L_wallet,wallet,"accessory, wallet",
L_walrus,walrus,walrus,
L_wand,wand,wand,
L_wander,wander,"explore, journey, travel, walk, wander",
L_want,want,"want, wanted, wanting, wants",
L_want_2,want,want,
L_war,war,war,
L_warm,warm,"temperature, warm",
L_warn,warn,"warn, warning",
L_wash_1,wash,"lather, rinse, scrub, wash",
L_wash_3,wash,wash,
L_wash_dishes,wash_dishes,wash_dishes,
L_wash_face_1,wash_face,wash_face,
L_wash_face_2,wash_face,"clean, towel, wash, washcloth, washing, wash face",
L_wash_hands,wash_hands,"handwashing, soap, wash hands, washing",
L_wash_machine,wash_machine,"clothes, dishwasher, laundry, wash, washing, washing machine",
L_waste,waste,waste,
L_watch,watch,"view, watch, watch a show, watch TV","no signs for watch as wristwatch, see wristwatch"
L_water,water,"liquid, water",
L_water_ski,water_ski,water_ski,
L_waterdrop,waterdrop,"drip, drop, droplet, water drop",
L_wave,wave,"ocean wave, oceanwave, surf, wave",
L_way,way,"manner, method, path, street, way, WAYb",
L_we,we,"pronoun, us, we",
L_we_will_see,we_will_see,we_will_see,
L_weak,weak,"weak, vulnerable, frail",
L_wear,wear,"wear, get dressed, dress, to-wear, to wear",
L_weather,weather,"climate, weather",
L_weave,weave,weave,
L_wedding,wedding,"bride, celebration, groom, marry, occasion, wedding",
L_wednesday,wednesday,"day, day of the week, time, Wednesday",
L_week,week,"time, week, weekly",
L_weekend_2,weekend,"time, weekend",
L_weigh,weigh,weigh,
L_weight,weight,weight,
L_weird,weird,"odd, strange, unusual, weird",
L_welcome_1,welcome,"greeting, welcome, you're welcome",
L_well,well,"don't know, maybe, oh well, palm up, PU, so be it, um, well, what happened","When you do something well -- do it in a good or satisfactory way like ""I did well on my ASL test"", use good; in good health. See healthy, fine"
L_west,west,"direction, west",
L_wet,wet,"damp, moist, moisture, wet, WETch",
L_whale,whale,"animal, mammal, whale, _魫? _魫_",
L_what_1,what,"interrogative, pronoun, what, WHAT",
L_what_2,what,"interrogative, pronoun, what, WHAT",
L_what_for,what_for,"because, cause, for, for-for, reason, what for, why",
L_whatever,whatever,"anyway, determiner, doesn't matter, don't care, don't mind, matter, pronoun, regardless, whatever, whenever",
L_wheel,wheel,"car, rotation, round, spin, tire, vehicle, wheel, wheelchair",
L_wheelbarrow,wheelbarrow,wheelbarrow,
L_wheelchair,wheelchair,wheelchair,
L_when,when,"about, adverb, conjunction, interrogative, when",
L_where,where,"adverb, conjunction, interrogative, where",
L_which,which,"interrogative, pronoun, which, which one",
L_while,while,"during, meanwhile, time, while",
L_whip,whip,whip,
L_whisper,whisper,whisper,
L_whistle,whistle,"blow whistle, referee, whistle, whistling",
L_whistle_3,whistle,whistle,
L_white,white,"color, white",
L_white_person,white_person,"caucasian, person, white, white person",
L_who,who,"interrogative, pronoun, who, whose",
L_whole,whole,"all, entire, global, globe, whole, world",
L_why,why,"adverb, because, interrogative, question, reason, why",
L_why_not,why_not,"contraction, not, why, why not",
L_wide,wide,"big, expand, girth, large, wide",
L_wife,wife,"married, wife, WIFEb",
L_will,will,will,
L_will_go,will_go,"contraction, future, go, will, will go",
L_win,win,"game, sports, victory, win",
L_wind,wind,"air, blow, wind, windy",
L_windmill,windmill,windmill,
L_windmill_2,windmill,windmill,
L_windmill_3,windmill,windmill,
L_window,window,"panes, window, window panes",
L_window_open,window_open,"open, open-window, open the window, window",
L_windy,windy,windy,
L_wine,wine,"alcohol, wine",
L_wink,wink,"eye blink, blinking, close eye, eye, wink, winking",
L_winter,winter,"chill, chilly, cold, freezing, weather, winter",
L_wise,wise,"clever, insightful, intelligent, smart, wisdom, wise",
L_wish,wish,wish,
L_witch,witch,"magic, witch, wizard",
L_witch_2,witch,"magic, witch, wizard",
L_with,with,"and, put with, together, with",
L_without,without,"lacking, not have, without",
L_wolf,wolf,"animal, canine, wolf",
L_woman,woman,"female, girl, lady, woman",
L_woman_2,woman,"female, girl, lady, woman",
L_wonder,wonder,"consider, contemplate, ponder, thinking, think about, thoughts, wonder",
L_wood,wood,"cut, saw, tree, wood, wooden",
L_word,word,"term, word",
L_work,work,"career, employ, employment, job, labor, occupation, profession, work, working",
L_work_out,work_out,work_out,
L_workshop,workshop,workshop,
L_world,world,"earth, globe, world",
L_worm,worm,"bug, caterpillar, insect, worm",
L_worry,worry,"concerned, trouble, worry",
L_worse,worse,"comparative, intensity, more, worse, worst",
L_wow,wow,"awful, exclamation, interesting, pei-pei, pei pei, whoa, wow, AWFUL-WOW",
L_wrap,wrap,wrap,
L_wrap_up,wrap_up,wrap_up,
L_wrap_up_2,wrap_up,wrap_up,
L_wrestle,wrestle,"sports, wrestle, wrestling",
L_wring,wring,wring,
L_wristwatch,wristwatch,"time, timepiece, watch, wristwatch",
L_wristwatch_2,wristwatch,"time, timepiece, watch, wristwatch",
L_wristwatch_3,wristwatch,wristwatch,
L_write,write,"author, draw, drawing, handwritten, pen, write, writer, writing",
L_write_on_wall,write_on_wall,write_on_wall,
L_wrong_1,wrong,"incorrect, mistake, what's the matter?, what's wrong?, wrong",
L_wrong_2,wrong,"incorrect, mistake, what's the matter?, what's wrong?, wrong",
L_yawn_1,yawn,yawn,
L_yawn_2,yawn,yawn,
L_yawn_3,yawn,yawn,
L_yawn_4,yawn,yawn,
L_yay,yay,"applaud, applause, clap, hooray, ovation, praise, yay",
L_yeah,yeah,"ah, I gotcha, I understand, oh I see, oh wow, OIC, peipei, pehpeh, pei pei, peh peh, understood, yeah",
L_year,year,"time, year",
L_yellow,yellow,"color, yellow",
L_yes,yes,"affirmative, yeah, yep, yes",
L_yesterday,yesterday,"past, time, yesterday, YESTERDAYth",
L_you,you,you,
L_young,young,"young, youth",
L_your,your,your,
L_yourself,yourself,yourself,
L_yoyo,yoyo,yoyo,
L_yucky,yucky,yucky,
L_zebra,zebra,zebra,
L_zero,zero,"0, none, number, zero, zilch",
L_zipper,zipper,"coat, jacket, zipper",
L_zoo,zoo,zoo,
L_zoom_in,zoom_in,"computer screen, enlarge, expand, make bigger, zoom in",
L_zoom_off,zoom_off,"leave, sprint, take off, zoom off, ZOOM-OFF, long time, train gone",
